"","KO","names","Pathway"
"3757","K07215","heme oxygenase (biliverdin-IX-beta and delta-forming) [EC:1.14.99.58]","Metabolism; Metabolism of cofactors and vitamins; Porphyrin and chlorophyll metabolism"
"3758","K07216","hemerythrin","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3759","K07217","Mn-containing catalase","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3760","K07218","nitrous oxidase accessory protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3761","K07219","putative molybdopterin biosynthesis protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3762","K07220","uncharacterized protein","Not Included in Pathway or Brite; Poorly characterized; Function unknown"
"3763","K07221","phosphate-selective porin OprO and OprP","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3764","K07222","putative flavoprotein involved in K+ transport","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3765","K07223","porphyrinogen peroxidase [EC:1.11.1.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3766","K07224","iron uptake system component EfeO","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3767","K07225","putative hemin transport protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3768","K07226","heme iron utilization protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3769","K07227","heme iron utilization protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3770","K07228","TrkA domain protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3771","K07229","ferric-chelate reductase (NADPH) [EC:1.16.1.9]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3772","K07230","periplasmic iron binding protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3773","K07231","putative iron-regulated protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3774","K07232","glutathione-specific gamma-glutamylcyclotransferase [EC:4.3.2.7]","Metabolism; Metabolism of other amino acids; Glutathione metabolism"
"3775","K07233","copper resistance protein B","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3776","K07234","uncharacterized protein involved in response to NO","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Others"
"3777","K07235","tRNA 2-thiouridine synthesizing protein D [EC:2.8.1.-]","Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"3778","K07236","tRNA 2-thiouridine synthesizing protein C","Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"3779","K07237","tRNA 2-thiouridine synthesizing protein B","Genetic Information Processing; Folding, sorting and degradation; Sulfur relay system | Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"3780","K07238","zinc transporter, ZIP family","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3781","K07239","heavy-metal exporter, HME family","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Transport"
"3782","K07240","chromate transporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3783","K07241","high-affinity nickel-transport protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3784","K07243","high-affinity iron transporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3785","K07245","copper resistance protein D","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3786","K07246","tartrate dehydrogenase/decarboxylase / D-malate dehydrogenase [EC:1.1.1.93 4.1.1.73 1.1.1.83]","Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism"
"3787","K07248","lactaldehyde dehydrogenase / glycolaldehyde dehydrogenase [EC:1.2.1.22 1.2.1.21]","Metabolism; Carbohydrate metabolism; Pyruvate metabolism | Metabolism; Carbohydrate metabolism; Glyoxylate and dicarboxylate metabolism"
"3788","K07249","retinal dehydrogenase [EC:1.2.1.36]","Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism"
"3789","K07250","4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]","Metabolism; Carbohydrate metabolism; Propanoate metabolism | Metabolism; Carbohydrate metabolism; Butanoate metabolism | Metabolism; Amino acid metabolism; Alanine, aspartate and glutamate metabolism | Metabolism; Amino acid metabolism; Valine, leucine and isoleucine degradation | Metabolism; Amino acid metabolism; Lysine degradation | Metabolism; Metabolism of other amino acids; beta-Alanine metabolism | Brite Hierarchies; Protein families: metabolism; Amino acid related enzymes"
"3790","K07251","thiamine kinase [EC:2.7.1.89]","Metabolism; Metabolism of cofactors and vitamins; Thiamine metabolism"
"3791","K07255","taurine dehydrogenase small subunit [EC:1.4.2.-]","Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism"
"3792","K07256","taurine dehydrogenase large subunit [EC:1.4.2.-]","Metabolism; Metabolism of other amino acids; Taurine and hypotaurine metabolism"
"3793","K07257","spore coat polysaccharide biosynthesis protein SpsF","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth"
"3794","K07258","serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"3795","K07259","serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4) [EC:3.4.16.4 3.4.21.-]","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"3796","K07260","zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]","Metabolism; Glycan biosynthesis and metabolism; Peptidoglycan biosynthesis | Environmental Information Processing; Signal transduction; Two-component system | Human Diseases; Drug resistance: Antimicrobial; Vancomycin resistance | Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Antimicrobial resistance genes"
"3797","K07261","penicillin-insensitive murein DD-endopeptidase [EC:3.4.24.-]","Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"3798","K07262","serine-type D-Ala-D-Ala endopeptidase (penicillin-binding protein 7) [EC:3.4.21.-]","Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"3799","K07263","zinc protease [EC:3.4.24.-]","Brite Hierarchies; Protein families: metabolism; Peptidases"
"3800","K07264","4-amino-4-deoxy-L-arabinose transferase [EC:2.4.2.43]","Human Diseases; Drug resistance: Antimicrobial; Cationic antimicrobial peptide (CAMP) resistance | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"3801","K07265","capsular polysaccharide export protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3802","K07266","capsular polysaccharide export protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3803","K07267","porin","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3804","K07269","uncharacterized protein","Not Included in Pathway or Brite; Poorly characterized; Function unknown"
"3805","K07270","glycosyl transferase, family 25","Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"3806","K07271","lipopolysaccharide cholinephosphotransferase [EC:2.7.8.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3807","K07272","rhamnosyltransferase [EC:2.4.1.-]","Brite Hierarchies; Protein families: metabolism; Glycosyltransferases | Brite Hierarchies; Protein families: metabolism; Lipopolysaccharide biosynthesis proteins"
"3808","K07273","lysozyme","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3809","K07274","MipA family protein","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3810","K07275","outer membrane protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3811","K07276","uncharacterized protein","Not Included in Pathway or Brite; Poorly characterized; Function unknown"
"3812","K07277","outer membrane protein insertion porin family","Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3813","K07278","translocation and assembly module TamA","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3814","K07279","autotransporter family porin","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system"
"3815","K07281","1L-myo-inositol 1-phosphate cytidylyltransferase [EC:2.7.7.74]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism"
"3816","K07282","gamma-polyglutamate biosynthesis protein CapA","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3817","K07283","putative salt-induced outer membrane protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3818","K07284","sortase A [EC:3.4.22.70]","Brite Hierarchies; Protein families: metabolism; Peptidases | Brite Hierarchies; Protein families: metabolism; Peptidoglycan biosynthesis and degradation proteins"
"3819","K07285","outer membrane lipoprotein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3820","K07286","uncharacterized lipoprotein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3821","K07287","outer membrane protein assembly factor BamC","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3822","K07289","AsmA protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3823","K07290","AsmA family protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3824","K07291","CDP-L-myo-inositol myo-inositolphosphotransferase [EC:2.7.8.34]","Metabolism; Carbohydrate metabolism; Inositol phosphate metabolism"
"3825","K07298","serine/threonine-protein kinase 11 [EC:2.7.11.1]","Environmental Information Processing; Signal transduction; FoxO signaling pathway | Environmental Information Processing; Signal transduction; PI3K-Akt signaling pathway | Environmental Information Processing; Signal transduction; AMPK signaling pathway | Environmental Information Processing; Signal transduction; mTOR signaling pathway | Cellular Processes; Transport and catabolism; Autophagy - animal | Cellular Processes; Cellular community - eukaryotes; Tight junction | Organismal Systems; Endocrine system; Adipocytokine signaling pathway | Organismal Systems; Aging; Longevity regulating pathway | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"3826","K07299","MFS transporter, SP family, solute carrier family 2 (facilitated glucose transporter), member 1","Environmental Information Processing; Signal transduction; HIF-1 signaling pathway | Organismal Systems; Endocrine system; Insulin secretion | Organismal Systems; Endocrine system; Glucagon signaling pathway | Organismal Systems; Endocrine system; Adipocytokine signaling pathway | Organismal Systems; Endocrine system; Thyroid hormone signaling pathway | Organismal Systems; Digestive system; Bile secretion | Human Diseases; Cancers: Overview; Pathways in cancer | Human Diseases; Cancers: Overview; Central carbon metabolism in cancer | Human Diseases; Cancers: Specific types; Renal cell carcinoma | Human Diseases; Endocrine and metabolic diseases; Insulin resistance | Human Diseases; Infectious diseases: Viral; Human T-cell leukemia virus 1 infection | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3827","K07300","Ca2+:H+ antiporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3828","K07301","cation:H+ antiporter","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3829","K07302","isoquinoline 1-oxidoreductase subunit alpha [EC:1.3.99.16]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3830","K07303","isoquinoline 1-oxidoreductase subunit beta [EC:1.3.99.16]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3831","K07304","peptide-methionine (S)-S-oxide reductase [EC:1.8.4.11]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3832","K07305","peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3833","K07306","anaerobic dimethyl sulfoxide reductase subunit A [EC:1.8.5.3]","Metabolism; Energy metabolism; Sulfur metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3834","K07307","anaerobic dimethyl sulfoxide reductase subunit B (DMSO reductase iron- sulfur subunit)","Metabolism; Energy metabolism; Sulfur metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3835","K07308","anaerobic dimethyl sulfoxide reductase subunit C (DMSO reductase anchor subunit)","Metabolism; Energy metabolism; Sulfur metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3836","K07309","Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]","Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3837","K07310","Tat-targeted selenate reductase subunit YnfF [EC:1.97.1.9]","Metabolism; Metabolism of other amino acids; Selenocompound metabolism | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3838","K07312","Tat-targeted selenate reductase subunit YnfH","Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3839","K07313","serine/threonine protein phosphatase 1 [EC:3.1.3.16]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3840","K07315","phosphoserine phosphatase RsbU/P [EC:3.1.3.3]","Brite Hierarchies; Protein families: genetic information processing; Transcription machinery"
"3841","K07316","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3842","K07317","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3843","K07318","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3844","K07319","adenine-specific DNA-methyltransferase [EC:2.1.1.72]","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3845","K07320","ribosomal protein L3 glutamine methyltransferase [EC:2.1.1.298]","Brite Hierarchies; Protein families: genetic information processing; Ribosome biogenesis"
"3846","K07321","CO dehydrogenase maturation factor","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth"
"3847","K07322","regulator of cell morphogenesis and NO signaling","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell growth"
"3848","K07323","phospholipid transport system substrate-binding protein","Environmental Information Processing; Membrane transport; ABC transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters"
"3849","K07326","hemolysin activation/secretion protein","Human Diseases; Infectious diseases: Bacterial; Pertussis"
"3850","K07334","toxin HigB-1","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3851","K07335","basic membrane protein A and related proteins","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility"
"3852","K07336","PKHD-type hydroxylase [EC:1.14.11.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3853","K07337","penicillin-binding protein activator","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility"
"3854","K07338","uncharacterized protein","Not Included in Pathway or Brite; Poorly characterized; Function unknown"
"3855","K07339","mRNA interferase HicA [EC:3.1.-.-]","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3856","K07340","inner membrane protein","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Structural proteins"
"3857","K07341","death on curing protein","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3858","K07343","DNA transformation protein and related proteins","Not Included in Pathway or Brite; Unclassified: signaling and cellular processes; Cell motility"
"3859","K07344","type IV secretion system protein TrbL","Cellular Processes; Cellular community - prokaryotes; Quorum sensing | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system"
"3860","K07345","major type 1 subunit fimbrin (pilin)","Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3861","K07346","fimbrial chaperone protein","Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3862","K07347","outer membrane usher protein","Human Diseases; Infectious diseases: Bacterial; Pertussis | Brite Hierarchies; Protein families: signaling and cellular processes; Transporters | Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3863","K07348","minor fimbrial subunit","Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3864","K07349","minor fimbrial subunit","Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3865","K07350","minor fimbrial subunit","Brite Hierarchies; Protein families: signaling and cellular processes; Secretion system | Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3866","K07351","fimbrial protein","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3867","K07352","type 1 fimbrial protein","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3868","K07355","fimbrial-like protein","Brite Hierarchies; Protein families: signaling and cellular processes; Bacterial motility proteins"
"3869","K07357","type 1 fimbriae regulatory protein FimB","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
"3870","K07358","type 1 fimbriae regulatory protein FimE","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
"3871","K07359","calcium/calmodulin-dependent protein kinase kinase 2 [EC:2.7.11.17]","Environmental Information Processing; Signal transduction; AMPK signaling pathway | Cellular Processes; Transport and catabolism; Autophagy - animal | Organismal Systems; Endocrine system; Adipocytokine signaling pathway | Organismal Systems; Endocrine system; Oxytocin signaling pathway | Organismal Systems; Aging; Longevity regulating pathway | Human Diseases; Substance dependence; Alcoholism | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"3872","K07369","mucosa-associated lymphoid tissue lymphoma translocation protein 1 [EC:3.4.22.-]","Environmental Information Processing; Signal transduction; NF-kappa B signaling pathway | Organismal Systems; Immune system; C-type lectin receptor signaling pathway | Organismal Systems; Immune system; T cell receptor signaling pathway | Organismal Systems; Immune system; B cell receptor signaling pathway | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: metabolism; Peptidases"
"3873","K07374","tubulin alpha","Cellular Processes; Transport and catabolism; Phagosome | Cellular Processes; Cell growth and death; Apoptosis | Cellular Processes; Cellular community - eukaryotes; Tight junction | Cellular Processes; Cellular community - eukaryotes; Gap junction | Human Diseases; Infectious diseases: Bacterial; Pathogenic Escherichia coli infection | Brite Hierarchies; Protein families: genetic information processing; Messenger RNA biogenesis | Brite Hierarchies; Protein families: genetic information processing; Chromosome and associated proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Cytoskeleton proteins | Brite Hierarchies; Protein families: signaling and cellular processes; Exosome"
"3874","K07376","cGMP-dependent protein kinase 1 [EC:2.7.11.12]","Environmental Information Processing; Signal transduction; cGMP-PKG signaling pathway | Cellular Processes; Cellular community - eukaryotes; Gap junction | Organismal Systems; Immune system; Platelet activation | Organismal Systems; Endocrine system; Regulation of lipolysis in adipocytes | Organismal Systems; Circulatory system; Vascular smooth muscle contraction | Organismal Systems; Digestive system; Salivary secretion | Organismal Systems; Nervous system; Long-term depression | Organismal Systems; Sensory system; Olfactory transduction | Organismal Systems; Environmental adaptation; Circadian entrainment | Organismal Systems; Environmental adaptation; Thermogenesis | Brite Hierarchies; Protein families: metabolism; Protein kinases"
"3875","K07386","putative endopeptidase [EC:3.4.24.-]","Brite Hierarchies; Protein families: metabolism; Peptidases"
"3876","K07387","metalloprotease [EC:3.4.24.-]","Brite Hierarchies; Protein families: metabolism; Peptidases"
"3877","K07389","cytolysin-activating lysine-acyltransferase [EC:2.3.1.-]","Human Diseases; Infectious diseases: Bacterial; Pertussis"
"3878","K07390","monothiol glutaredoxin","Brite Hierarchies; Protein families: genetic information processing; Chaperones and folding catalysts | Brite Hierarchies; Protein families: genetic information processing; Mitochondrial biogenesis"
"3879","K07391","magnesium chelatase family protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3880","K07392","AAA family ATPase","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3881","K07393","glutathionyl-hydroquinone reductase [EC:1.8.5.7]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3882","K07394","SM-20-related protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3883","K07395","putative proteasome-type protease","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3884","K07396","putative protein-disulfide isomerase","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3885","K07397","putative redox protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3886","K07399","cytochrome c biogenesis protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3887","K07400","Fe/S biogenesis protein NfuA","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3888","K07401","selenoprotein W-related protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3889","K07402","xanthine dehydrogenase accessory factor","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3890","K07403","membrane-bound serine protease (ClpP class)","Not Included in Pathway or Brite; Unclassified: genetic information processing; Protein processing"
"3891","K07404","6-phosphogluconolactonase [EC:3.1.1.31]","Metabolism; Carbohydrate metabolism; Pentose phosphate pathway"
"3892","K07405","alpha-amylase [EC:3.2.1.1]","Metabolism; Carbohydrate metabolism; Starch and sucrose metabolism"
"3893","K07406","alpha-galactosidase [EC:3.2.1.22]","Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Lipid metabolism; Sphingolipid metabolism | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series"
"3894","K07407","alpha-galactosidase [EC:3.2.1.22]","Metabolism; Carbohydrate metabolism; Galactose metabolism | Metabolism; Lipid metabolism; Glycerolipid metabolism | Metabolism; Lipid metabolism; Sphingolipid metabolism | Metabolism; Glycan biosynthesis and metabolism; Glycosphingolipid biosynthesis - globo and isoglobo series"
"3895","K07408","cytochrome P450 family 1 subfamily A polypeptide 1 [EC:1.14.14.1]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Metabolism; Amino acid metabolism; Tryptophan metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450 | Organismal Systems; Endocrine system; Ovarian steroidogenesis | Human Diseases; Cancers: Overview; Chemical carcinogenesis | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3896","K07418","cytochrome P450 family 2 subfamily J [EC:1.14.14.1 1.14.14.73 1.14.14.74 1.14.14.75]","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Metabolism; Lipid metabolism; Linoleic acid metabolism | Organismal Systems; Endocrine system; Ovarian steroidogenesis | Organismal Systems; Nervous system; Serotonergic synapse | Organismal Systems; Sensory system; Inflammatory mediator regulation of TRP channels | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3897","K07422","cytochrome P450 family 2 subfamily U polypeptide 1","Metabolism; Lipid metabolism; Arachidonic acid metabolism | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3898","K07424","cytochrome P450 family 3 subfamily A [EC:1.14.14.1]","Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Metabolism; Lipid metabolism; Linoleic acid metabolism | Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism | Human Diseases; Cancers: Overview; Chemical carcinogenesis | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3899","K07426","cytochrome P450 family 4 subfamily B polypeptide 1 [EC:1.14.14.1]","Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3900","K07427","docosahexaenoic acid omega-hydroxylase [EC:1.14.14.79]","Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3901","K07430","25/26-hydroxycholesterol 7alpha-hydroxylase [EC:1.14.14.29]","Metabolism; Lipid metabolism; Primary bile acid biosynthesis | Metabolism; Lipid metabolism; Steroid hormone biosynthesis | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3902","K07431","sterol 12-alpha-hydroxylase [EC:1.14.18.8 1.14.14.139]","Metabolism; Lipid metabolism; Primary bile acid biosynthesis | Organismal Systems; Endocrine system; PPAR signaling pathway | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3903","K07432","beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"3904","K07436","vitamin D3 24-hydroxylase [EC:1.14.15.16]","Metabolism; Lipid metabolism; Steroid biosynthesis | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Human Diseases; Cancers: Overview; MicroRNAs in cancer | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3905","K07438","calcidiol 1-monooxygenase (25-hydroxyvitamin D3 1alpha-hydroxylase) [EC:1.14.15.18]","Metabolism; Lipid metabolism; Steroid biosynthesis | Organismal Systems; Endocrine system; Parathyroid hormone synthesis, secretion and action | Human Diseases; Infectious diseases: Bacterial; Tuberculosis | Brite Hierarchies; Protein families: metabolism; Cytochrome P450"
"3906","K07441","beta-1,4-N-acetylglucosaminyltransferase [EC:2.4.1.141]","Metabolism; Glycan biosynthesis and metabolism; N-Glycan biosynthesis | Metabolism; Glycan biosynthesis and metabolism; Various types of N-glycan biosynthesis | Brite Hierarchies; Protein families: metabolism; Glycosyltransferases"
"3907","K07442","tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"3908","K07443","methylated-DNA-protein-cysteine methyltransferase related protein","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
"3909","K07444","putative N6-adenine-specific DNA methylase [EC:2.1.1.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3910","K07445","putative DNA methylase","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
"3911","K07446","tRNA (guanine10-N2)-dimethyltransferase [EC:2.1.1.213]","Brite Hierarchies; Protein families: genetic information processing; Transfer RNA biogenesis"
"3912","K07447","putative holliday junction resolvase [EC:3.1.-.-]","Not Included in Pathway or Brite; Unclassified: metabolism; Enzymes with EC numbers"
"3913","K07448","restriction system protein","Brite Hierarchies; Protein families: signaling and cellular processes; Prokaryotic defense system"
"3914","K07450","putative resolvase","Not Included in Pathway or Brite; Unclassified: genetic information processing; Replication and repair"
